TEXTURE_ID,FPS,"LOOPTYPE(0:Single, 1:Loop)",,,,
Larry_jr_head_rare,10,1,,,,
,,,,,,
TEXTUREID,LEFT,TOP,HEIGHT,WIDTH,ORIGIN_X,ORIGIN_Y
graphics/enemies/boss_001_larryjr.png,96,0,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,0,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,0,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,0,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,0,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,48,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,48,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,48,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,48,48,48,0.000000,0.000000
graphics/enemies/boss_001_larryjr.png,96,48,48,48,0.000000,0.000000
